id,title,weightPerServing,dishTypes,calories,Saturated Fat/g,Sugar/g,Cholesterol/mg,Sodium/mg,Vitamin B3/mg,Selenium/?g,Phosphorus/mg,Iron/mg,Vitamin B2/mg,Calcium/mg,Vitamin B1/mg,Folate/?g,Potassium/mg,Copper/mg,Zinc/mg,Manganese/mg,Magnesium/mg,Vitamin B12/?g,Vitamin B5/mg,Vitamin B6/mg,Vitamin E/mg,Fiber/g,Vitamin A/IU,Vitamin D/?g,Vitamin K/?g,Vitamin C/mg,Alcohol/g,Caffeine/g,Fat,Carbon,Protein,ingredients
179,Artichokes with Bagna Cauda,119,side dish,318.69,6.27,1.75,20.72,214.83,3.12,5.83,185.34,2.72,0.15,112.37,0.15,111.64,693.59,0.44,1.13,0.66,104.71,0.07,0.7,0.37,3.12,9.04,201.97,0,35.55,23.32,0,0,24.45,21.66,8.17,"anchovy fillets,artichokes,butter,garlic,olive oil"
180,Favourite Winter Salad Recipe,75,salad,2297.57,76.17,128.73,3.6,2923.7,16.09,5.04,443.27,11.89,0.66,1532.36,0.95,577.15,2988.38,0.59,3.04,1.77,163.88,0,1.84,0.65,2.98,32.59,5604.89,0,286.06,63.37,0,0,5,216.64,65.31,"anchovies,fennel bulb,garlic clove,halloumi cheese,lemon zest,lettuce,olive oil,pomegranate,rustic loaf,sea-salt,watercress"
181,Spicy Saut?ed Mushrooms With Anchovy,83,side dish,325.85,14.57,7.94,65,245.19,18.49,122.51,580.22,2.32,2.27,118.07,0.46,115.37,2115.29,2.32,5.28,0.81,47.66,0.55,6.94,0.63,0.94,3.08,852.78,0.87,2.65,2.81,0,0,23.67,22.75,13.85,"anchovy fillets,butter,cremini mushroom,garlic clove,red pepper flakes"
182,Grilled Kale Caesar Salad,73,salad,440.07,6.65,1.09,15.47,521.77,1.77,12.33,147.05,2.08,0.15,204.19,0.19,34.86,422.48,1.03,0.85,0.62,47.12,0.13,0.26,0.24,3.81,1.04,6573.47,0,505.87,82.46,0,0,40.29,14.6,7.85,"anchovy,black pepper,croutons,dijon mustard,garlic,kale,lemon juice,mayonnaise,olive oil,parmesan cheese,worcestershire"
183,Anchovy Mayonnaise,155,side dish,219.54,3.64,2.13,15.17,100.09,1.67,6.77,63.84,0.59,0.1,72.06,0.04,0,122.96,0.06,0.43,0.13,10.22,0.25,0.27,0.12,2.01,0,72.89,0.5,25,2.25,0,0,20.96,4.2,4.03,"anchovies,garlic cloves,mayonnaise,milk,olive oil"
184,Anchovy Fennel Toasts with Roasted Red Peppers,35,"antipasti,starter,snack,appetizer,antipasto,hor d'oeuvre",39.72,2.45,0.27,10.77,5.89,0.24,0,0,0,0,0,0,4.33,0,0,0,0.03,0,0,0,0.02,0.22,0,312.28,0,0,8,0,0,3.96,0.84,0.4,"anchovy,baguette,black pepper,fennel seeds,lemon juice,red bell peppers,unsalted butter"
185,Double-whammy Arrabiata,200,"lunch,main course,main dish,dinner",1730.92,3.34,24.35,7.2,66.93,11.77,259.33,901.09,8.49,0.48,169.12,0.57,138.89,1889.24,1.53,6.66,4.34,279.25,0.07,2.35,1.73,4.7,17.86,2989.4,0,52.07,291.94,0,0,21.84,323.72,59.87,"anchovy,bread,chilli,chillies,dried chilli,garlic cloves,olive oil,oregano,pasta,tomatoes"
186,Pissaladiere,41,"antipasti,starter,snack,appetizer,antipasto,hor d'oeuvre",119.27,0.93,2.19,3.84,447.46,2,7.01,45.04,1.18,0.1,27.21,0.14,30.1,190.83,0.08,0.35,0.2,14.37,0,0.18,0.09,0.91,1.47,496.81,0,22.77,10.17,0,0,5.53,14.34,3.42,"anchovies,coarse salt,filo dough,fresh flat-leaf parsley,fresh thyme leaves,garlic,olive oil,olives,onions,plum tomatoes"
187,Salsa Verde,158,side dish,503.24,7.55,0.34,0.6,329,0.75,2.3,35.4,2.88,0.06,75.86,0.05,57.83,242.68,0.1,0.51,0.24,27.83,0,0.19,0.07,8.07,1.93,3078.57,0,541.76,43.67,0,0,54.61,4.03,1.87,"anchovy,capers,dijon mustard,flat leaf parsley leaves,fresh basil leaves,fresh mint leaves,garlic clove,olive oil,red pepper flakes,red wine vinegar,salt and pepper"
188,Ni?oise on a Roll,100,"lunch,main course,main dish,dinner",485.26,3.61,3.72,40.2,1424.89,11.06,66.94,203.75,4.12,0.38,135.14,0.52,122.25,519.41,0.28,1.6,0.64,52.69,1.42,0.78,0.33,3.96,4.89,837.11,0.84,20.8,13.53,0,0,22.66,48.9,21.43,"canned anchovies,canned tuna,crusty roll,cucumber,hard cooked egg,olive oil,olives,red onion,salt and pepper,tomato,white wine vinegar"
189,Pasta with Anchovy-Walnut Sauce,78,side dish,404.24,1.65,7.88,1.27,273.53,1.9,38.69,211.27,2.17,0.12,76.46,0.18,67.7,535.44,0.48,1.67,1.3,73.73,0,0.6,0.41,1.19,5.69,1296.64,0,127.86,43.77,0,0,14.33,58.42,12.53,"black pepper,canned anchovy,crushed red pepper,flat leaf parsley leaves,garlic cloves,lower sodium beef broth,olive oil,onion,red bell pepper,salt,spaghetti,walnuts"
190,Chickpea and Octopus Bruschetta,151,side dish,287.02,3.11,0.09,27.52,1148.07,1.35,26.83,152.28,3.89,0.03,53.8,0.04,22.08,291.91,0.33,1.35,0.48,32.83,11.34,0.45,0.47,3.66,2.29,93.14,0,12.6,3.43,0.77,0,22.37,8.91,11.19,"anchovy,canned chickpeas,dry white wine,garlic,octopus,olive oil,olive oil,red wine vinegar,salt,basic bruschetta"
191,Celery Root R?moulade,160,side dish,201.07,3.47,3.56,13.96,521.18,1.45,3.49,217.92,1.82,0.15,107.12,0.11,24.8,576.44,0.14,0.73,0.35,41.91,0.06,0.69,0.31,1.17,3.33,459.08,0,151.98,22.19,0,0,14.12,16.96,3.59,"anchovy,celery root,cornichons,dijon mustard,flat leaf parsley,fresh tarragon,kosher salt,lemon juice,lemon zest,mayonnaise,sour cream"
192,"Garlic, Thyme And Anchovy Baked Potatoes",200,"lunch,main course,main dish,dinner",648.47,9.99,6.68,49.2,750.07,8.76,10.08,366.54,5.8,0.3,113.37,0.52,115.95,2598.35,0.64,2.14,1.03,148.35,0.13,2.08,2.22,2.02,9.04,2825.04,0.46,16.51,128.67,0,0,16.87,107.88,16.28,"baking potatoes,bell pepper,butter,canned anchovies,garlic cloves,sea salt,thyme sprigs"
193,Salade Nicoise,200,"lunch,main course,main dish,dinner",459.96,4.55,8.39,246.32,1818.54,12.12,88.73,338.5,5.08,0.51,152.83,0.32,128.6,836.48,0.32,2.14,0.53,74.69,2.72,1.47,0.61,4.96,6.76,2413.83,2.15,55.24,26.38,0,0,24.08,29.66,31.15,"anchovy,black olives,croutons,eggs,extra virgin olive oil,fresh basil leaves,green beans,iceberg leaves,juice of lemon,salt,sugar,tomatoes,tuna"
194,Mozzarella Skewers with Anchovy Sauce (Spiedini di Mozzarella),100,"lunch,main course,main dish,dinner",454.4,9.09,5.87,108.57,828.29,5.77,40.65,374.53,4.12,0.48,428.61,0.43,95.16,275.38,0.17,3.02,1.05,57.62,1.46,1.08,0.15,0.91,3.81,1076.3,0.56,124,9.65,0,0,20.12,43.85,24.48,"anchovies,bread,eggs,mozzarella,olive oil,parsley"
195,Soft-Boiled Eggs with Warm Croutons and Greens,200,"lunch,main course,main dish,dinner",368.95,6.48,0.62,421.85,497.01,0.59,36.5,255.94,2.67,0.56,80.31,0.08,77.18,274.85,0.12,1.65,0.22,22.97,1.01,1.85,0.26,4.22,0.26,1268.01,2.27,13.58,13.87,0,0,31.99,4.82,15.44,"black pepper,bread,dijon mustard,eggs,garlic,greens,kosher salt,olive oil,red wine vinegar"
196,Salmon With Anchovy Olive Tapenade,108,side dish,162.56,2,0.58,15.59,819.83,2.34,10.92,62.14,0.71,0.12,35.21,0.08,13.73,182.76,0.12,0.25,0.05,15.04,0.9,0.51,0.28,2.31,1.54,170.83,0,4.71,6.87,0,0,14.2,3.37,6.68,"garlic,kalamata olives,lemon juice,olive oil,rosemary,salmon,salted anchovies"
197,Seafood Stew with Anchovy Aioli,200,"lunch,main course,main dish,dinner",380.18,2.98,13.26,222.11,1484.28,4,44.63,275.54,5.16,0.18,228.62,0.21,49.64,910.08,0.66,2.55,0.91,85.14,0.68,0.88,0.51,5.88,5.87,3950.85,0,42.18,33.55,3.09,0,19.94,27.42,22.76,"anchovy paste,canned tomatoes,carrot,cayenne pepper,clam juice,dry white wine,garlic cloves,mayonnaise,olive oil,onion,orange zest,salt and pepper,shrimp,tomato paste,if"
198,"Montbrun Melange: Olive Bread With Basil, Marinated Tomatoes, A",66,,224.8,4.97,5.31,20.07,180.63,3.35,11.27,84.79,1.65,0.12,68.29,0.17,39.24,317.56,0.13,0.66,0.49,28.42,0.06,0.38,0.13,1.77,2.32,1003.45,0,18.28,13.21,0,0,14.31,19.28,5.57,"anchovies,balsamic vinegar,basil leaves,coarse sea salt,garlic,bread,olive oil,tomato,unsalted butter"
199,Caesar Salad Deviled Eggs,53,salad,172.79,3.01,1.36,214.42,394.66,0.68,20.24,154.52,1.97,0.33,84.73,0.12,110.84,245.7,0.09,1.03,0.17,19.53,0.55,1.01,0.16,1.19,1.52,5313.98,1.15,88.85,4.5,0,0,12.2,6.36,9.4,"anchovy,dijon mustard,eggs,fresh flat-leaf parsley,garlic,lemon juice,lemon zest,mayo,olive oil,panko bread crumbs,parmesan cheese,romaine lettuce leaves,salt and pepper,worcestershire sauce"
200,Chicken Caesar Salad With Anchovy-caesar Vinaigrette And Garlic,73,salad,663.02,9.03,9.53,92.92,897.27,15.63,57.19,609.59,6.85,0.63,504.23,0.61,709.02,1729.52,0.36,2.89,0.97,122.75,0.56,2.6,1.28,4.93,11.04,41135.6,0.24,498.74,27.44,0,0,39.53,37.51,43.2,"anchovy filets,chicken breasts,dijon mustard,dijon mustard,french baguette,garlic cloves,granulated sugar,granulated sugar,lemon juice,olive oil,parmesan,parmesan,romaine,worcestershire sauce,worcestershire sauce"
201,"Escarole Salad With Salt Cod, Anchovies And Olives",74,salad,135.41,1.16,1.13,10.28,904.3,1.86,13.9,126.07,0.9,0.11,52.47,0.06,31.56,252.92,0.16,0.59,0.28,39.74,0.7,0.32,0.12,3.4,2.16,534.77,0.61,40.31,11.07,0,0,10.28,4.25,7.95,"anchovy,blanched almonds,bread,chilies,escarole,garlic cloves,hazelnuts,oil packed tuna,olive oil,olives,red wine vinegar,salt,salt cod,tomatoes"
203,Bagna Cauda Dip With Assorted Vegetables,21,"condiment,dip,spread",1126.02,25.68,1.2,108.39,2300.46,12.1,55.01,323.81,4.97,0.34,344.59,0.27,12.28,774.36,0.53,2.73,1.96,68.32,0.55,1.23,1.52,12.98,2.43,732.61,1.38,54.32,35.55,0,0,5,37.69,23.84,"butter,canned anchovy fillets,garlic cloves,olive oil,root vegetables"
204,Saut?ed Broccoli Raab With Balsamic Vinegar,87,side dish,132.12,1.08,5.32,0.12,253.32,2.68,2.39,137.15,3.73,0.26,175.55,0.29,159.88,476.58,0.09,1.39,0.73,44.31,0,0.74,0.5,4.67,5.72,6322.4,0,346.96,126.3,0,0,8.04,11.31,5.92,"aged balsamic vinegar,bell pepper,broccoli raab,garlic,kosher salt,oil packed tuna,olive oil,red pepper flakes"
205,Roasted Red Pepper Pasta Sauce,15,sauce,24.61,0.55,0.21,2.29,351.17,0,0,15.97,0.18,0,22.05,0,0,36.94,0.47,0,0.05,0,0,0,0.03,0,0,93.99,0,0,5.09,0.69,0,1.5,1,0.71,"anchovies,cayenne,cheese,fresh sage,garlic cloves,olive oil,onion,red wine,roasted red peppers,sage,salt,smoked paprika,tomato paste"
206,Boiled Asparagus With Salsa Verde,91,side dish,190.88,2.59,2.44,2.4,230.22,1.72,4.12,69.44,2.89,0.18,39.47,0.17,65.3,272.52,0.23,0.73,0.2,20.03,0,0.36,0.12,3.92,2.65,1101.25,0,105.02,12,0,0,18.37,5.3,3.5,"anchovy,asparagus,capers,fresh flat-leaf parsley,kosher salt,lemon juice,lemon zest,olive oil,shallot"
209,Tender Zucchini Fritters with Green Goddess Dressing,168,side dish,265.28,5.85,1.96,16.74,486.68,0.85,2.82,105.01,1.72,0.19,69.47,0.09,33.43,305.26,0.21,0.58,0.33,22.35,0.06,0.32,0.22,1.59,0.85,1696.93,0,49.67,19.17,0.19,0,24.37,6.6,5.56,"all purpose flour,anchovy,baking powder,beer,black pepper,coarse kosher salt,fresh chives,fresh dill,fresh tarragon,goat cheese,m?che,mayonnaise,olive oil,parsley,white distilled vinegar,zucchini"
211,Bagna Cauda Dip with Assorted Vegetables,36,"condiment,dip,spread",282.07,6.42,0.34,27.1,575.19,3.03,13.77,81.49,1.25,0.09,86.42,0.07,0,196.4,0.13,0.69,0.49,17.3,0.14,0.31,0.38,3.26,0.64,183.15,0.35,13.75,9.02,0,0,25.2,9.56,5.97,"butter,canned anchovy fillets,garlic cloves,olive oil,root vegetables"
213,Pilsner Urquell And Spicy Linguini,103,,696.02,3.02,5.78,0,726.86,4.08,78.92,275.14,3.37,0.2,88.88,0.39,61.29,434.66,0.44,2.15,1.38,79.7,0.09,0.7,0.27,3.03,5.7,777.61,0,77.67,10.89,0,0,20.45,106.89,19.92,"breadcrumbs,capers,chili flakes,extra virgin olive oil,flat leaf parsley,garlic,heirloom tomatoes,linguini,olive oil,salt packed anchovies"
214,Caesar Salad,76,salad,263.85,7.07,10.66,3.01,258.38,1.89,2.07,83.12,2.17,0.14,95.35,0.15,211.89,438.44,0.08,0.52,0.28,27.91,0,0.24,0.13,1.21,4.09,12376.93,0,150.01,7.69,0,0,18.43,20.65,5.66,"anchovy,coarse salt,dijon mustard,garlic cloves,lemon juice,olive oil,parmesan cheese,pepper,romaine lettuce,rustic bread,worcestershire sauce"
215,Cook the Book: Sicilian Pizza,200,"lunch,main course,main dish,dinner",1904.12,52.88,26.23,238.14,1658.09,36.04,163.51,1939.75,23.33,3.98,1903.76,6.28,1489.4,2332.18,1.13,13.22,3.86,249.51,1.9,7.04,1.56,7.89,29.71,5463.45,1.36,86.33,77.45,0,0,5,350.92,113.86,"active yeast,cheese,flour,garlic cloves,olive oil,onions,oregano,plum tomatoes,salt"
217,Muffuletta,81,side dish,608.62,9.02,1.13,4,2099.42,1.39,4.06,27.31,1.42,0.04,91.94,0.04,12.11,139.29,0.19,0.29,0.12,20.96,0,0.11,0.13,11.28,4.39,573.55,0,32.82,14.22,0,0,65.7,7.2,2.98,"anchovy,extra virgin olive oil,garlic,ground pepper,horseradish,kalamata olives,lemon juice,oregano,pimento stuffed olives,roasted red bell pepper"
218,Puttanesca Sauce,22,sauce,101.01,0.99,5.22,1.6,440.3,1.8,1.93,43.38,1.67,0.07,46.68,0.09,15.21,358.66,0.23,0.37,0.23,24.99,0,0.33,0.19,2.5,2.36,302.69,0,10.38,10.9,0,0,7.04,9.03,2.56,"anchovy,basil,canned tomatoes,capers,crushed red pepper,garlic cloves,kalamata olives,olive oil,salt and pepper,sugar,tomato paste"
219,"Spicy Cauliflower Pasta With Garlic, Anchovies And Capers",100,"lunch,main course,main dish,dinner",902.01,8.47,7.68,63.5,2051.43,11.37,117.47,700.87,5.87,0.49,550.33,0.3,141.15,1249.98,0.69,4.45,2.03,158.82,0.67,2.4,0.83,4.41,10.6,739,0.8,45.81,96.36,0,0,29.25,116.57,43.12,"canned anchovies,cauliflower,fennel seeds,garlic,olive oil,pecorino romano cheese,penne pasta,red pepper flakes,salt and pepper"
220,Roasted Cauliflower with Capers and Bread Crumbs,138,side dish,194.19,1.58,5.78,0.85,379.57,2.56,7.6,135.17,1.98,0.2,85.26,0.21,151.83,751.54,0.14,0.92,0.6,46.66,0,1.7,0.46,1.73,5.64,314.54,0,83.62,116.89,0,0,10.49,21.83,6.83,"bread,canned anchovy,capers,cauliflower,chili flakes,garlic,lemon juice,olive oil,parsley,salt"
221,Caesar Salad with Anchovy Wrapped Garlic and Savory Lemon Sabayon,79,salad,477.94,8.96,14.58,186.29,637.86,3.55,29,407.91,2.74,0.68,488.82,0.34,198.38,747.29,0.22,2.23,0.45,58.16,1.59,1.73,0.38,7.07,3.05,10505.89,3.99,119.22,9.66,0,0,33.58,26.22,19.35,"anchovy filets,bread crumbs,egg yolks,garlic cloves,kosher salt,lemon juice,lemon zest,milk,oil-packed anchovies,parmesan,romaine hearts,safflower oil"
222,Escarole Salad with Chopped Egg and Anchovy Vinaigrette,54,salad,98.24,1.33,0.53,47.83,142.93,0.81,4.91,61.92,1.33,0.17,77.24,0.11,188.32,431.33,0.14,1.19,0.56,21.66,0.15,1.35,0.05,1.57,4,2845.6,0.28,299.99,9.46,0,0,7.69,4.8,3.63,"anchovy,black pepper,escarole,garlic,hard cooked eggs,lemon juice,olive oil,salt"
223,"Saut?ed Red Cabbage With Onions, Garlic, And Anchovy",89,side dish,490.19,14.79,34.65,62.6,568.26,3.53,5.68,295.46,4.97,0.47,405.7,0.64,436.54,1838.19,0.23,2.08,1.75,127.86,0.07,2.32,1.49,3.23,25.33,3925.8,0.42,696.02,433.41,0,0,24.12,64.43,14.4,"anchovy,apple cider vinegar,butter,cabbage,garlic,kosher salt,onion,bell pepper"
224,Fish Cake Soup (odeng Tang),144,soup,196.25,1.14,0.92,87,2114.22,10.15,70.37,341.69,2.56,0.21,62.19,0.1,54.04,642.2,0.22,1.05,0.27,66.87,2.49,1.01,0.35,0.79,0.63,130.8,4.65,27.62,2.51,0,0,3.58,3.02,38.22,"anchovies,daikon,fish,green onion,kombu,soy sauce,soy sauce"
226,Roasted Green Beans With Bagna Cauda,87,side dish,337.08,8.45,3.86,26.18,210.5,2.17,5.85,137.53,2.04,0.18,103.97,0.16,54.32,395.04,0.11,0.49,0.35,34.45,0,0.36,0.21,3.81,3.42,1189.86,0.16,45.45,17.25,0,0,30.18,15.23,4.36,"anchovy,clabber girl baking powder,flour,fresh green beans,garlic,juice of lemon,kosher salt,olive oil,parsley,smoked paprika,unsalted butter"
227,Fresh Bloody Mary,138,side dish,74.45,0.15,9.07,0.6,807.29,1.96,0.8,96.77,1.53,0.1,66.58,0.13,55.88,843.29,0.23,0.73,0.49,47.03,0,0.53,0.28,1.61,4.59,2593.67,0,71.42,48.7,0,0,0.89,16.51,3.52,"anchovy,celery,celery seeds,english cucumber,flat leaf parsley leaves,fresh horseradish,ground pepper,heirloom tomatoes,hot sauce,kosher salt,lime,lime juice,ribs celery,sea salt,vodka,worcestershire sauce"
228,Caesar Salad,79,salad,49.88,0.64,3.24,1.52,229.48,0.74,0.84,35.87,0.37,0.07,31.34,0.04,35.04,164.24,0,0.26,0.09,10.56,0,0.25,0.22,1.47,1.59,2356.5,0,4.94,95.69,0,0,2.75,4.81,1.55,"dry mustard,garlic cloves,lemon juice,olive oil,olive oil,parmesan cheese,bell pepper,plain yogurt,romaine lettuce,salt"
229,Romaine Salad with Anchovy Dressing and Parmesan,62,salad,155.56,4.47,0.78,15.96,346.96,0.55,5.98,166.12,0.72,0.11,271.09,0.04,60.12,140.98,0.04,0.74,0.09,16.75,0.27,0.18,0.07,1.09,0.92,3858.46,0,47.87,3.38,0,0,12.5,2.59,8.69,"anchovy,garlic cloves,hearts of romaine,lemon juice,olive oil,parmigiano reggiano,white-wine vinegar"
230,Queso Manchego con Aceitunas y Piquillos,35,"antipasti,starter,snack,appetizer,antipasto,hor d'oeuvre",60.34,2.56,0.37,10.71,172.48,0.2,0,0,0.53,0,110.71,0,6.32,0,0,0,0,0,0,0,0,0.31,0.3,532.83,0,66.02,12.75,0,0,4.8,1.37,2.74,"anchovy,extra virgin olive oil,fresh parsley,manchego cheese,oil cured black olives,piquillo peppers"
231,Olive Tapenade,49,,440.59,5.99,0.88,8.87,1593.72,2.38,6.76,38.42,1.45,0.05,86.27,0.04,11.1,139.47,0.18,0.38,0.09,20.59,0.09,0.16,0.1,7.86,3.69,646.33,0,64.48,9.21,3.76,0,43.3,6.25,4.43,"anchovy fillets,cognac,fresh flat-leaf parsley,garlic cloves,lemon juice,oil cured black olives,olive oil,white pepper"
232,Stuffed Flank Steak,121,"antipasti,starter,snack,appetizer,antipasto,hor d'oeuvre",9.37,0.15,0.04,1.38,207.52,0,0.73,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,2.49,0,0,0,0.61,0.39,0.6,"anchovy,bread crumbs,flank steak,fresh flat-leaf parsley,garlic cloves,olive oil,oregano,parmigiano reggiano cheese,pine nuts,salami,salt and pepper"
233,Corn Risotto Garnished with Bacon & Anchovy Sage Leaf Bite,200,"lunch,main course,main dish,dinner",757.18,14.01,9.83,92.81,1067.64,8.35,24.41,438.06,4.07,0.49,370.33,0.53,184.01,650.61,9.42,2.42,1,65.16,0.51,1.48,0.59,5.12,4.12,2742.72,0.46,19.67,99.01,0,0,45.42,62.51,24.59,"anchovy,arborio rice,bacon,butter,canola oil,chicken stock,ears of corn,egg,fresh sage,olive oil,onion,bell pepper,rice flour,romano cheese,sage,salt and pepper,chardonney"
234,Grilled Lettuces with Manchego,82,side dish,223.56,4.79,13.23,15.8,319.39,2.94,1.76,221.78,2.22,0.81,245.82,0.28,168.1,1529.54,0.3,1.68,1,99.21,0,0.94,1.26,1.76,7,1217.43,0,21.3,112.07,0,0,13.24,21.75,10.93,"canned anchovy,gem squash,lemon,lemon juice,manchego cheese,olive oil,salt and pepper"
235,Crostini With Beef Tartare And White Truffle Oil,43,,501.2,13.02,0.44,133.31,446.05,3.9,27.76,253.3,3.64,0.33,37.04,0.19,25,430.13,0.15,3.82,0.1,33,3.09,0.63,0.49,2.68,0.65,406.26,0.28,72.52,6.98,0,0,43.63,3.03,23.57,"anchovy,beef tenderloin,capers,crostini,dijon mustard,egg,fresh flat-leaf parsley,garlic cloves,kosher salt,olive oil,orange zest,shallots,truffle oil,worcestershire sauce"
236,"Roasted Radicchio with Anchovy Vinaigrette, Preserved Lemon, and Breadcrumbs",200,"lunch,main course,main dish,dinner",407.51,8.46,3.22,22.1,2189.53,1.48,13.71,297.27,1.75,0.19,437.91,0.13,81.45,400.48,0.37,1.73,0.38,38.38,0.39,0.62,0.14,5.31,2.25,289.56,0.16,252.83,27.14,0,0,30.39,18.28,15.22,"bread cubes,coarse sea salt,garlic clove,lemon,lemon juice,lemon juice,olive oil,olive oil,oregano,parmesan cheese,parmesan cheese,radicchio,red pepper,sugar"
237,Green Goddess Salad,64,salad,263.28,2.74,12.07,6.58,359.55,4.24,2.17,187.87,3.31,0.37,128.29,0.27,320.16,1569.01,0.41,1.81,0.67,87.73,0.09,2.18,0.76,4.48,14.01,14064.33,0,320.78,158.4,0,0,16.52,27.63,7.35,"anchovy fillets,avocado,basil leaves,bell pepper,chives,corn kernels,cucumber,dill,fine grain sea salt,flat leaf parsley leaves,hard-boiled eggs,lemon juice,radishes,romaine lettuce,scallion,tomatoes,yogurt,unrefined"
238,Pasta With Anchovy-walnut Sauce,200,"lunch,main course,main dish,dinner",592.55,2.24,3.53,1.27,365.82,2.57,73.86,278.79,2.65,0.11,60.16,0.17,46.63,392.63,0.59,2.22,1.66,90.16,0,0.64,0.29,1.54,5.2,786.51,0,129.29,10.87,0,0,18.55,88.47,17.93,"black pepper,black pepper,canned anchovy,crushed red pepper,crushed red pepper,flat leaf parsley,garlic cloves,olive oil,olive oil,salt,salt,spaghetti pasta,spaghetti pasta,walnuts"
239,Caesar Salad With Poached Eggs,56,salad,132.01,2.06,0.82,99.96,302.86,0.61,10.91,73.58,0.93,0.15,37.39,0.06,35.24,83.99,0.04,0.49,0.13,9.11,0.25,0.5,0.07,1.18,0.59,1132.99,0.54,19.9,0,0,0,10.48,4.85,4.62,"anchovy,bread,eggs,garlic clove,lemon juice,mayonnaise,olive oil,parmigiano reggiano cheese,romaine hearts,Salt & Pepper,worcestershire sauce"
240,Pissaldiere,200,"lunch,main course,main dish,dinner",191.78,2.23,0.26,48.45,2837.68,11.47,39.25,145.98,2.94,0.21,158.82,0.05,9.03,332.68,0.25,1.42,0.06,45.25,0.5,0.53,0.13,3.73,1.64,230.44,0.97,7.57,0,0,0,12.9,1.94,16.98,"canned anchovies,fresh thyme leaves,kalamata olives"
241,Roasted Asparagus With Rosemary And Anchovies Wrapped In Pancetta,200,"lunch,main course,main dish,dinner",764.56,24.79,7.41,112.83,951.13,9.56,32.6,360.66,9.25,0.66,128.47,0.8,202.96,1028.75,0.8,3.41,0.63,72.23,0.57,1.68,0.61,7.32,8.32,3481.63,0.67,169.66,25.3,0,0,67.24,16.77,23.08,"anchovy,asparagus spears,bacon rashers,butter,fresh rosemary,lemon,olive oil,sea-salt"
242,Beans And Salsa Verde,100,"lunch,main course,main dish,dinner",726.58,2.93,5.39,4,571.4,4.43,7.91,643,11.75,0.37,170.66,0.95,626.24,2268.39,1.13,4.6,1.79,223.21,0,1.32,0.68,3.22,23.82,1809.77,0,332.36,34.71,0,0,21.3,97.39,36.33,"anchovies,capers,dried beans,garlic,olive oil,parsley,salsa verde,salt and pepper,soak"
243,Pepper Pasta,79,,591.76,8.12,14.19,22.74,506.85,4.1,2.14,110.63,2.38,0.15,52.47,0.25,65.19,578.2,0.19,1.13,0.42,39.4,0.26,0.55,0.67,4.39,8.55,2448.39,0.37,102.98,190.63,0,0,34,56.76,15.22,"anchovies,bell pepper,broth,cooking oil,food dye,food dye,garlic,leek,olive oil,parsley,peppers,pork links,rustic loaf,whole wheat penne"
244,Grilled Prawns With Pistou,109,side dish,215.55,2.41,0.59,52.56,355.71,2.41,13.43,117.13,2.53,0.15,114.26,0.05,38.37,250.46,0.24,1.11,0.47,50.6,0.21,0.24,0.08,4.76,1.97,1903.57,0,303.94,25.25,0,0,18.95,3.94,8.96,"anchovy,coarse salt,fresh basil leaves,fresh flat-leaf parsley,garlic cloves,lemon zest,olive oil,prawns,whole almonds"
245,Chicken Caesar Salad,69,salad,725.21,10.41,11.22,225.29,910.57,37.46,111.93,814.08,3.31,0.48,139.38,0.36,209.21,1671.23,0.17,2.56,0.27,116.04,0.77,5.1,2.67,2.67,3.73,11274.18,0.37,145.4,15.32,0,0,34.56,21.79,78.84,"anchovy,chicken cutlets,chicken cutlets,coarse salt,garlic clove,italian bread,lemon juice,low fat mayonnaise,olive oil,parmesan,romaine hearts"
247,Spaghetti Puttanesca,168,side dish,368.07,0.87,7.93,2.4,627.68,3.53,50.4,195.44,2.99,0.13,76.79,0.18,32.19,585.03,0.5,1.53,0.97,70.79,0,0.73,0.34,2.58,5.45,359.18,0,9.42,12.75,0,0,5.8,67.19,13.13,"anchovies,canned tomatoes,capers,coarse salt,crushed red pepper,garlic cloves,kalamata olives,olive oil,spaghetti"
248,Orecchiette With Broccoli Rabe,200,"lunch,main course,main dish,dinner",1165.97,7.59,7.64,20.4,802.98,8.12,153.84,889.16,10.62,0.68,775.24,0.77,325.5,1213.15,0.82,6.67,3.47,209.08,0.36,2.23,0.96,7.81,16.56,9191.68,0,771.07,69.95,0,0,26.37,180.91,51.25,"broccoli rabe,broccoli rabe,crushed red pepper,crushed red pepper,garlic,lemon wedges,olive oil,orecchiette pasta,orecchiette pasta,parmesan cheese,salt and pepper"
249,Lightened Green Goddess Dressing,88,side dish,189.09,1.38,0.69,115.81,594.79,0.36,22.07,101.46,1.21,0.03,83.48,0,10.35,75.63,0.13,0.99,0.19,18.19,0.37,0.12,0,3.1,0,271.94,0,64.69,6.19,0,0,16,1.28,9.81,"anchovy,coarse salt,garlic clove,light mayonnaise,low fat plain yogurt,oil,parsley leaves,scallion,shrimp,white-wine vinegar,white-wine vinegar"
250,Caramelized Onion Tart With Olives,85,side dish,467.83,8.96,2.83,10.03,291.01,3.26,16.67,64.56,2.51,0.22,44.14,0.27,60.52,158.76,0.13,0.56,0.43,23.54,0,0.11,0.1,1.77,2.62,291.87,0,14.67,9.67,0,0,34.82,33.94,6.2,"anchovy,fresh thyme,oil cured black olives,olive oil,onions,puff pastry,unsalted butter"
